string_permission_denied_to_read_from_your_external_storage;Permission denied to read from your External storage;Berechtigung verweigert, von Ihrem externen Speicher zu lesen
string_exit_application;Exit application;Anwendung beenden
string_design;Design;Entwurf
string_corrections_;Corrections:;Korrekturen:
string_permission_denied_to_manage_to_your_external_storage;Permission denied to manage to your External storage;Berechtigung verweigert, auf Ihren externen Speicher zuzugreifen
string_debug_survey;Debug Survey;Debug-Übersicht
string_fixed_only;Fixed Only;Nur behoben
string_cad_layers;CAD layers;CAD-Schichten
string_language;Language;Sprache
string_stop_corrections;Stop Corrections;Korrekturen stoppen
string_do_you_want_to_continue_anyway_;Do you want to continue anyway?;Möchten Sie trotzdem fortfahren?
string_taiwan;Taiwan;Taiwan
string_survey_stakeout_on_map;Survey/Stakeout on Map;Vermessung/Absteckung auf Karte
string_receiver_is_not_licensed_;Receiver is not licensed!;Empfänger ist nicht lizenziert!
string_close;Close;Schließen
string_turkish;Turkish;Türkisch
string_please__switch_to_design_or_ts_points_from_top_menu_to_import_data_;Please, switch to design or TS points from top menu to import data!;Bitte wechseln Sie zum Importieren der Daten in den Entwurf oder die TS-Punkte aus dem oberen Menü!
string_receiver;Receiver;Empfänger
string_use;Use;verwenden
string_compare_rtk_rtpk;Compare RTK+RTPK;Vergleich RTK+RTPK
string_5hz;5Hz;5Hz
string_open_street_maps;Open Street Maps;Straßenkarten öffnen
string_no_debug;No debug;Keine Fehlersuche
string_start_rtk_rover;Start RTK Rover;RTK-Rover starten
string_this_is_dangerous_setting;This is dangerous setting;Dies ist eine gefährliche Einstellung
string_select_other_job___;Select Other Job&#8230||;Anderen Job auswählen&#8230||
string_connection_in_progress____;Connection in progress&#8230||!;Verbindung in Arbeit&#8230|!
string_select_project;Select Project;Projekt auswählen
string_stay_for__dsec;Stay for %dsec;Bleibe für %dsec
string_permission_denied_to_write_to_your_external_storage;Permission denied to write to your External storage;Berechtigung zum Schreiben auf den externen Speicher verweigert
string_russian;Russian;Russisch
string_north_up;North Up;Norden oben
string_scheme;Scheme;Schema
string_archive_jobs_to_dropbox;Archive jobs to DropBox;Aufträge in DropBox archivieren
string_additional_views;Additional views;Zusätzliche Ansichten
string_survey_stakeout_without_map;Survey/Stakeout without Map;Umfrage/Abfrage ohne Karte
string_english;English;Englisch
string_do_you_want_to_exit_the_application_;Do you want to exit the application?;Möchten Sie die Anwendung beenden?
string_no_file_logging;No file logging;Keine Dateiprotokollierung
string_id;Id;Id
string_yandex_maps;Yandex Maps;Yandex-Karten
string_google_maps;Google Maps;Google-Karten
string_survey_on_top;Survey on top;Übersicht oben
string_option_has_purchased__app_is_licensed_to_work_with_any_javad_gnss_receiver_;Option has purchased. App is licensed to work with any JAVAD GNSS receiver.;Option wurde erworben. Die App ist lizenziert, um mit jedem JAVAD GNSS-Empfänger zu arbeiten.
string_rec_;Rec:;Empf:
string_all_epochs;All Epochs;Alle Epochen
string_job_;Job:;Job:
string_changing_archive_settings_will_move_all_your_job_files_;Changing archive settings will move all your job files!;Wenn Sie die Archiveinstellungen ändern, werden alle Ihre Job-Dateien verschoben!
string_wrong_device;Wrong device;Falsches Gerät
string_permission_denied_to_access_to_camera;Permission denied to access to camera;Zugriffsrecht auf Kamera verweigert
string_dxf_dwg_file;DXF/DWG File;DXF/DWG-Datei
string_error_purchasing__;Error purchasing: ;Fehler beim Kauf: 
string_view_;View:;Ansicht:
string_fix__float_or_dgps;Fix, Float or DGPS;Fix, Float oder DGPS
string_job_arhiving_is_off;Job Arhiving is off;Job Arhiving ist ausgeschaltet
string_the_application_is_designed_to_be_ran_on_nautiz_x8_device_only_;The application is designed to be ran on Nautiz X8 device only.;Die Anwendung ist nur für den Betrieb auf einem Nautiz X8-Gerät vorgesehen.
string_first_fix;First Fix;Erster Fix
string_select_last_job___s_;Select Last Job (%s);Letzter Job auswählen (%s)
string_rtkbases;RTKBases;RTKBases
string_you_can_t_import_survey_points_;You can\'t import Survey points!;Sie können keine Vermessungspunkte importieren!
string_ts;TS;TS
string_disconnect;Disconnect;Trennen Sie die Verbindung
string_error_;Error!;Fehler!
string_problem_setting_up_in_app_billing__;Problem setting up In-app Billing: ;Problem beim Einrichten von In-App-Billing: 
string_sounds;Sounds;Sounds
string_archive_jobs_to_sd_folder__s;Archive jobs to SD folder %s;Aufträge in SD-Ordner %s archivieren
string_stop_rtk_rover;Stop RTK Rover;RTK-Rover anhalten
string_build__s;Build:%s;Bauen:%s
string_start_corrections;Start Corrections;Korrekturen starten
string_archive_jobs_to_googledrive;Archive jobs to GoogleDrive;Aufträge in GoogleDrive archivieren
string_archive_jobs_to_microsoft_onedrive;Archive jobs to Microsoft OneDrive;Aufträge in Microsoft OneDrive archivieren
string_permission_denied_to_obtain_list_of_bluetooth_devices_around;Permission denied to obtain list of Bluetooth devices around;Berechtigung verweigert, Liste der Bluetooth-Geräte zu erhalten um
string_version__1_s_2_s__3_s;Version:%1$s%2$s %3$s;Version:%1$s%2$s %3$s
string_stay_till_stop;Stay till Stop;Bleiben bis Stop
string_survey;Survey;Übersicht
string_log_to_file;Log to file;Log in Datei
string_survey_on_bottom;Survey on bottom;Umfrage am Boden
string_warning;Warning;Warnung
string_no_correction_source;no correction source;keine Korrekturquelle
string_sun_up;Sun Up;Sonne oben
string_course_up;Course Up;Kurs oben
string_antenna_settings_button;Antenna/Settings button;Taste Antenne/Einstellungen
string_points;Points;Punkte