string_correction_source_corrections;Correction Source Corrections;Korrekturen Quelle Korrekturen
string_current_parser_is_not_empty__this_action_will_overwrite_it_;Current Parser is not empty. This action will overwrite it!;Der aktuelle Parser ist nicht leer. Diese Aktion wird ihn überschreiben!
string_export_completed_;Export completed!;Export abgeschlossen!
string_distance3d;Distance3D;Abstand3D
string_wgs_height;WGS_Height;WGS_Höhe
string_northing;Northing;Nordrichtung
string_course;Course;Kurs
string_name;Name;Name
string_delimiter_symbol;Delimiter Symbol;Begrenzungssymbol
string_select_import_type;Select Import Type;Importtyp auswählen
string_wgs_latitude;WGS_Latitude;WGS_Breitengrad
string_choose_lat_lon_format;Choose Lat/Lon format;Lat/Lon-Format wählen
string_delete_parser_;Delete Parser?;Parser löschen?
string_no;No;Nein
string_warning_;Warning!;Warnung!
string_save_this_export_profile_as;Save This Export Profile As;Dieses Exportprofil speichern unter
string_enter_scale_coefficient;Enter Scale Coefficient;Skalierungskoeffizient eingeben
string_export___;Export&#8230||;Exportieren&#8230||
string_undo;Undo;Rückgängig
string_table_could_show_only_first_100_strings;Table could show only first 100 strings;Tabelle konnte nur die ersten 100 Strings anzeigen
string_correction_source_mount_point;Correction Source Mount Point;Korrektur Quelle Einhängepunkt
string_number;Number;Nummer
string_enter_number_of_symbol;Enter Number Of Symbol;Nummer des Symbols eingeben
string_select_a_delimiter_symbol;Select a Delimiter Symbol;Wählen Sie ein Trennzeichen Symbol
string_y;y;y
string_x;x;x
string_import;Import;importieren
string_wgs_longitude;WGS_Longitude;WGS_Längengrad
string_ascii_file___txt;ASCII file *.txt;ASCII-Datei *.txt
string_tap_to_input_delimiter_symbol___;Tap To Input Delimiter Symbol&#8230||;Tippen Sie auf das Eingabe-Begrenzungszeichen&#8230||
string_autocad_drawing___dxf;AutoCad Drawing *.dxf;AutoCad-Zeichnung *.dxf
string_name_column_are_not_selected__select_and_try_again_;Name column are not selected. Select and try again!;Namensspalte sind nicht ausgewählt. Wählen Sie und versuchen Sie es erneut!
string_up;Up;Nach oben
string_longitude;Longitude;Längengrad
string_create;Create;erstellen
string___t___tab;\\t - tab;\\Registerkarte
string_group;Group;Gruppe
string_coordinate_columns_are_not_selected__select_and_try_again_;Coordinate columns are not selected. Select and try again!;Die Koordinatenspalten sind nicht ausgewählt. Wählen Sie aus und versuchen Sie es erneut!
string_dh;dH;dH
string_warning__parser_is_not_empty__applying_symbol_will_overwriting_it_;Warning: parser is not empty, applying symbol will overwriting it.;Warnung: Der Parser ist nicht leer, das Anlegen eines Symbols überschreibt ihn.
string__origin_;(origin);(Ursprung)
string_enter_delimiter_symbol;Enter Delimiter Symbol;Delimiter-Symbol eingeben
string_export;Export;Exportieren
string_new_profile;new Profile;neues Profil
string_parser_name;Parser Name;Parser-Name
string_distance;Distance;Abstand
string_dn;dN;dN
string_altitude;Altitude;Höhe
string_select_export_type;Select Export Type;Exporttyp auswählen
string_cancel;Cancel;Abbrechen
string_description;Description;Beschreibung
string_correction_source_protocol;Correction Source Protocol;Korrektur Quelle Protokoll
string_original_rtcm3;Original RTCM3;Original RTCM3
string_too_small_columns_;Too small columns!;Zu kleine Spalten!
string_de;dE;dE
string_symbol;Symbol;Symbol
string_tap_to_select_file_name___;Tap To Select File Name&#8230||;Tippen Sie, um den Dateinamen zu wählen&#8230||
string_columns_count;Columns Count;Anzahl der Spalten
string_easting;Easting;Ostung
string_profile;Profile;Profil
string_width;Width;Breite
string_decimal_sign;Decimal Sign;Dezimales Vorzeichen
string_choose_export_cs;Choose export CS;Export CS wählen
string_share_with___;Share With&#8230||;Teilen mit&#8230||
string_point;Point;Punkt
string_latitude;Latitude;Breitengrad
string_no_data_to_export;No data to Export;Keine Daten zu exportieren
string_enter_parser_name;Enter Parser Name;Parser-Name eingeben
string_yes;Yes;Ja
string_correction_source_name;Correction Source Name;Name der Korrekturquelle
string__drag_drop_delimeter_;(Drag&amp||Drop Delimeter);(Begrenzungszeichen ziehen und fallen lassen)
string_delimiter_type;Delimiter Type;Begrenzungszeichen Typ
string_comma;Comma;Komma
string_ok;OK;OK
string_correction_source_id;Correction Source Id;Korrektur Quellenname
string_error_while_sharing_file_;Error while sharing file!;Fehler beim Teilen der Datei!